NodeId:0	1.0,0.0,1,15,66,96
NodeId:1	1.0,0.0,37,72
NodeId:2	1.0,0.0,31,63
NodeId:3	1.0,0.0,30,42,45,86
NodeId:4	1.0,0.0,24,42,46,86
NodeId:5	1.0,0.0,2,9,24,50,61,81,98
NodeId:6	1.0,0.0,15,22,58,80
NodeId:7	1.0,0.0,12,21,38,57,93
NodeId:8	1.0,0.0,13,41,59,87
NodeId:9	1.0,0.0,33,39,41,43,51,69,80
NodeId:10	1.0,0.0,4,6,38,67,78,80
NodeId:11	1.0,0.0,6,28,40,49,51,67,89
NodeId:12	1.0,0.0,24,28,50,55,67,85,98
NodeId:13	1.0,0.0,25,32,33,35,76
NodeId:14	1.0,0.0,36,39,44,62,98
NodeId:15	1.0,0.0,47,70,79,95,97
NodeId:16	1.0,0.0,45,52,67,80
NodeId:17	1.0,0.0,18,39,41,53,63,72,79,99
NodeId:18	1.0,0.0,52,61,62,87
NodeId:19	1.0,0.0,27,33,37,45,92
NodeId:20	1.0,0.0,7,94
NodeId:21	1.0,0.0
NodeId:22	1.0,0.0,25,65,72,83,97
NodeId:23	1.0,0.0,92,99
NodeId:24	1.0,0.0,9,10,18,38,55,93,94
NodeId:25	1.0,0.0,63
NodeId:26	1.0,0.0,15,23,28,64
NodeId:27	1.0,0.0,32,68,70,92
NodeId:28	1.0,0.0,21,25,72
NodeId:29	1.0,0.0,18,23,31,36,86
NodeId:30	1.0,0.0,80,84,95
NodeId:31	1.0,0.0,29,36,46,49,54,62,70,85
NodeId:32	1.0,0.0,2,3,6,27,47,69,71,91
NodeId:33	1.0,0.0,2,56,58,86
NodeId:34	1.0,0.0,0,7,77,78
NodeId:35	1.0,0.0,12,18,62,64,65,66,83,91
NodeId:36	1.0,0.0,12,20,30,34,61,75,77,99
NodeId:37	1.0,0.0,40,59,71,97
NodeId:38	1.0,0.0,30,41,98
NodeId:39	1.0,0.0,31,43,68,71,92
NodeId:40	1.0,0.0,7,71,72,73
NodeId:41	1.0,0.0,44,45,49,66
NodeId:42	1.0,0.0,36,45,70,89,99
NodeId:43	1.0,0.0,4,21,24,56,67,68,80,86,90
NodeId:44	1.0,0.0,17,37,38
NodeId:45	1.0,0.0,18,53,58,83,86,90
NodeId:46	1.0,0.0,78
NodeId:47	1.0,0.0,5,14,52,70,73
NodeId:48	1.0,0.0,18,39,61,79,89
NodeId:49	1.0,0.0,2,29,31,39,84
NodeId:50	1.0,0.0,0,20,46,68
NodeId:51	1.0,0.0,38,45,61,71
NodeId:52	1.0,0.0,27,31,64,91
NodeId:53	1.0,0.0,2,13,65,78,95
NodeId:54	1.0,0.0,12,69,77
NodeId:55	1.0,0.0,10,19,22,25,51,58,62
NodeId:56	1.0,0.0,29,36,80,96,98
NodeId:57	1.0,0.0,86,94,96,98
NodeId:58	1.0,0.0,16,38,71,73,78
NodeId:59	1.0,0.0,10,24,69,92
NodeId:60	1.0,0.0,14,49,53,56,65
NodeId:61	1.0,0.0,6,9,18,20,99
NodeId:62	1.0,0.0,11,22,33,91
NodeId:63	1.0,0.0,3,64,65,72
NodeId:64	1.0,0.0,3,27,28,31,33,39,78
NodeId:65	1.0,0.0,27,88
NodeId:66	1.0,0.0,8,19,72,81,83,98
NodeId:67	1.0,0.0,2,26,30,31,32,45
NodeId:68	1.0,0.0,1,6,19,28,40,81,85
NodeId:69	1.0,0.0,12,22,42,46,55,72,88
NodeId:70	1.0,0.0,20,63,99
NodeId:71	1.0,0.0,15,16,45,84,97
NodeId:72	1.0,0.0,10,49,51,92,93,95
NodeId:73	1.0,0.0,41,50,51,84,92
NodeId:74	1.0,0.0,35,54,84
NodeId:75	1.0,0.0,29,34,37,51,54,65,85,91
NodeId:76	1.0,0.0,9
NodeId:77	1.0,0.0,0,5,32,37,40,41,44,69,79,83,85,86,87
NodeId:78	1.0,0.0,13,19,34,82
NodeId:79	1.0,0.0,0,26,43,74,90
NodeId:80	1.0,0.0,31,79
NodeId:81	1.0,0.0,5,21,26,78,93,96
NodeId:82	1.0,0.0,2,23,24,32,52,53
NodeId:83	1.0,0.0,1,4,10,18,27,29,70
NodeId:84	1.0,0.0,9,21
NodeId:85	1.0,0.0,32,54,57,64,69,90,99
NodeId:86	1.0,0.0,11,60,71,95
NodeId:87	1.0,0.0,8,19,20,27,30,47,54,63
NodeId:88	1.0,0.0,21,26,44,50,55,82
NodeId:89	1.0,0.0,16,32,35,38,40,57,58
NodeId:90	1.0,0.0,1,26,52,93,96
NodeId:91	1.0,0.0,12,24,66,81,95
NodeId:92	1.0,0.0,22,34,39,57
NodeId:93	1.0,0.0,15,43,66,75
NodeId:94	1.0,0.0,4,17,20,90
NodeId:95	1.0,0.0,76,88
NodeId:96	1.0,0.0,12,13,24,31,60,74
NodeId:97	1.0,0.0,37,50,62,89
NodeId:98	1.0,0.0,5,13,15,28,49,66,92,94
NodeId:99	1.0,0.0,1,83
